Collision Pairs (after SRDF filtering):
Pair 149: lewis_fr3_link1_0 <-> lewis_fr3_link7_2
Pair 150: lewis_fr3_link1_0 <-> lewis_fr3_link7_3
Pair 151: lewis_fr3_link1_0 <-> lewis_fr3_link7_4
Pair 152: lewis_fr3_link1_0 <-> richard_fr3_link0_0
Pair 153: lewis_fr3_link1_0 <-> richard_fr3_link1_0
Pair 154: lewis_fr3_link1_0 <-> richard_fr3_link1_1
Pair 155: lewis_fr3_link1_0 <-> richard_fr3_link1_2
Pair 156: lewis_fr3_link1_0 <-> richard_fr3_link1_3
Pair 157: lewis_fr3_link1_0 <-> richard_fr3_link2_0
Pair 158: lewis_fr3_link1_0 <-> richard_fr3_link2_1
Pair 159: lewis_fr3_link1_0 <-> richard_fr3_link2_2
Pair 160: lewis_fr3_link1_0 <-> richard_fr3_link2_3
Pair 161: lewis_fr3_link1_0 <-> richard_fr3_link3_0
Pair 162: lewis_fr3_link1_0 <-> richard_fr3_link3_1
Pair 163: lewis_fr3_link1_0 <-> richard_fr3_link3_2
Pair 164: lewis_fr3_link1_0 <-> richard_fr3_link3_3
Pair 165: lewis_fr3_link1_0 <-> richard_fr3_link4_0
Pair 166: lewis_fr3_link1_0 <-> richard_fr3_link4_1
Pair 167: lewis_fr3_link1_0 <-> richard_fr3_link4_2
Pair 168: lewis_fr3_link1_0 <-> richard_fr3_link4_3
Pair 169: lewis_fr3_link1_0 <-> richard_fr3_link5_0
Pair 170: lewis_fr3_link1_0 <-> richard_fr3_link5_1
Pair 171: lewis_fr3_link1_0 <-> richard_fr3_link5_2
Pair 172: lewis_fr3_link1_0 <-> richard_fr3_link5_3
Pair 173: lewis_fr3_link1_0 <-> richard_fr3_link5_4
Pair 174: lewis_fr3_link1_0 <-> richard_fr3_link5_5
Pair 175: lewis_fr3_link1_0 <-> richard_fr3_link5_6
Pair 176: lewis_fr3_link1_0 <-> richard_fr3_link5_7
Pair 177: lewis_fr3_link1_0 <-> richard_fr3_link5_8
Pair 178: lewis_fr3_link1_0 <-> richard_fr3_link5_9
Pair 179: lewis_fr3_link1_0 <-> richard_fr3_link5_10
Pair 180: lewis_fr3_link1_0 <-> richard_fr3_link5_11
Pair 181: lewis_fr3_link1_0 <-> richard_fr3_link6_0
Pair 182: lewis_fr3_link1_0 <-> richard_fr3_link6_1
Pair 183: lewis_fr3_link1_0 <-> richard_fr3_link6_2
Pair 184: lewis_fr3_link1_0 <-> richard_fr3_link7_0
